10 17956 54491
0 0 -0.427225 -0.301991
1 0 -0.413717 -0.298875
0 1 -0.424108 -0.301991
1 1 -0.411639 -0.299914
0 2 -0.428264 -0.297837
1 2 -0.415172 -0.294305
0 3 -0.414756 -0.296798
1 3 -0.398962 -0.293059
0 4 -0.442811 -0.295759
1 4 -0.431381 -0.291812
0 5 -0.439694 -0.295759
1 5 -0.42764 -0.291812
0 6 -0.416834 -0.293682
1 6 -0.401456 -0.289319
0 7 -0.42099 -0.292643
1 7 -0.406443 -0.288073
0 8 -0.43242 -0.291604
1 8 -0.418912 -0.286826
0 9 -0.4106 -0.291604
1 9 -0.393975 -0.286826
0 10 -0.425147 -0.290566
1 10 -0.411431 -0.284333
0 11 -0.42203 -0.288488
1 11 -0.406443 -0.283295
0 12 -0.412678 -0.287449
1 12 -0.39597 -0.281093
0 13 -0.406443 -0.287449
1 13 -0.388488 -0.282588
0 14 -0.449045 -0.286411
1 14 -0.437616 -0.280594
0 15 -0.446967 -0.283295
1 15 -0.434498 -0.277062
0 16 -0.416834 -0.281217
1 16 -0.398131 -0.274985
0 17 -0.461514 -0.276024
1 17 -0.455072 -0.269376
0 18 -0.406443 -0.274985
1 18 -0.388987 -0.26813
0 19 -0.347217 -0.274985
1 19 -0.320408 -0.269376
0 20 -0.468788 -0.272908
1 20 -0.462553 -0.26439
0 21 -0.445928 -0.271869
1 21 -0.435122 -0.261897
0 22 -0.442811 -0.271869
1 22 -0.430384 -0.264639
0 23 0.135951 -0.271869
1 23 0.480922 -0.21474
0 24 -0.470866 -0.27083
1 24 -0.465047 -0.261897
0 25 -0.472944 -0.267714
1 25 -0.467541 -0.259404
0 26 -0.446967 -0.267714
1 26 -0.436577 -0.257327
0 27 -0.348256 -0.267714
1 27 -0.32124 -0.261482
0 28 -0.475022 -0.265637
1 28 -0.470035 -0.256912
0 29 -0.461514 -0.265637
1 29 -0.452578 -0.256912
0 30 -0.352412 -0.265637
1 30 -0.326643 -0.259404
0 31 -0.330591 -0.264598
1 31 -0.299211 -0.256912
0 32 -0.469827 -0.263559
1 32 -0.461306 -0.253172
0 33 -0.452163 -0.263559
1 33 -0.442603 -0.254419
0 34 -0.355529 -0.263559
1 34 -0.329552 -0.257327
0 35 -0.327474 -0.263559
1 35 -0.299419 -0.257327
0 36 -0.445928 -0.262521
1 36 -0.433875 -0.253172
0 37 -0.467749 -0.260443
1 37 -0.464798 -0.251178
0 38 -0.363842 -0.259404
1 38 -0.341606 -0.251926
0 39 -0.330591 -0.259404
1 39 -0.301497 -0.251095
0 40 -0.458397 -0.257327
1 40 -0.448838 -0.24694
0 41 -0.355529 -0.257327
1 41 -0.329137 -0.248186
0 42 -0.324357 -0.257327
1 42 -0.292977 -0.250679
0 43 -0.471905 -0.256288
1 43 -0.466294 -0.245693
0 44 -0.461514 -0.256288
1 44 -0.452578 -0.245693
0 45 -0.363842 -0.256288
1 45 -0.341606 -0.248186
0 46 -0.350334 -0.25525
1 46 -0.322902 -0.24694
0 47 -0.418912 -0.254211
1 47 -0.401456 -0.244447
0 48 -0.426186 -0.252133
1 48 -0.410184 -0.240708
0 49 -0.352412 -0.252133
1 49 -0.326643 -0.244447
0 50 -0.461514 -0.250056
1 50 -0.453825 -0.236968
0 51 -0.424108 -0.250056
1 51 -0.406443 -0.239461
0 52 -0.372154 -0.249017
1 52 -0.352827 -0.239461
0 53 -0.358646 -0.247979
1 53 -0.332877 -0.239461
0 54 -0.456319 -0.24694
1 54 -0.446344 -0.234475
0 55 -0.32124 -0.24694
1 55 -0.290483 -0.239461
0 56 -0.364881 -0.244863
1 56 -0.339112 -0.234725
0 57 -0.42203 -0.243824
1 57 -0.40395 -0.231983
0 58 -0.372154 -0.242785
1 58 -0.348089 -0.233229
0 59 -0.456319 -0.241746
1 59 -0.446344 -0.22949
0 60 -0.459436 -0.240708
1 60 -0.450084 -0.228243
0 61 -0.318123 -0.239669
1 61 -0.289029 -0.232398
0 62 -0.449045 -0.23863
1 62 -0.436369 -0.22575
0 63 -0.460475 -0.237592
1 63 -0.451331 -0.223257
0 64 -0.457358 -0.236553
1 64 -0.446344 -0.223257
0 65 -0.446967 -0.235514
1 65 -0.434498 -0.220972
0 66 -0.373193 -0.235514
1 66 -0.350334 -0.224504
0 67 -0.382545 -0.232398
1 67 -0.362803 -0.222011
0 68 -0.324357 -0.231359
1 68 -0.296302 -0.222011
0 69 -0.330591 -0.229282
1 69 -0.302537 -0.218895
0 70 0.0486691 -0.227205
1 70 0.10852 -0.22575
0 71 -0.446967 -0.226166
1 71 -0.433376 -0.210793
0 72 0.0663332 -0.225127
1 72 0.129716 -0.22305
0 73 -0.45528 -0.22305
1 73 -0.446244 -0.208699
0 74 -0.450084 -0.222011
1 74 -0.438862 -0.207054
0 75 0.24921 -0.217856
1 75 0.312593 -0.219934
0 76 -0.427225 -0.216817
1 76 -0.4106 -0.200198
0 75 0.24817 -0.215779
0 77 -0.36592 -0.21474
1 77 -0.338904 -0.201237
0 78 -0.423069 -0.212663
1 78 -0.405404 -0.196043
0 79 0.251288 -0.212663
1 79 0.316749 -0.214532
0 80 -0.367998 -0.211624
1 80 -0.344099 -0.197082
0 81 -0.363842 -0.211624
1 81 -0.337865 -0.198328
0 82 -0.366959 -0.209546
1 82 -0.342852 -0.194589
0 83 -0.439694 -0.207469
1 83 -0.426394 -0.19085
0 84 0.0580207 -0.205392
1 84 0.130963 -0.200821
0 84 0.0611379 -0.205392
0 85 0.187904 -0.205392
1 85 0.258146 -0.204561
0 86 0.0767239 -0.204353
1 86 0.147381 -0.200198
0 87 0.172318 -0.204353
1 87 0.245677 -0.203314
0 88 -0.370076 -0.203314
1 88 -0.346593 -0.188357
0 89 0.0247705 -0.203314
1 89 0.0935569 -0.198328
0 90 0.0216532 -0.202276
1 90 0.0898163 -0.197082
0 91 0.290772 -0.202276
1 91 0.358312 -0.204353
0 92 0.168162 -0.201237
1 92 0.239858 -0.201237
0 93 0.00502813 -0.198121
1 93 0.071113 -0.192096
0 94 -0.434498 -0.196043
1 94 -0.420159 -0.178385
0 95 -0.37735 -0.195005
1 95 -0.356568 -0.179632
0 96 0.0995835 -0.185656
1 96 0.179592 -0.179632
0 97 0.102701 -0.185656
1 97 0.182086 -0.179632
0 98 0.018536 -0.184618
1 98 0.0948038 -0.177887
0 99 0.0808802 -0.184618
1 99 0.160889 -0.178385
0 100 0.0839974 -0.184618
1 100 0.163382 -0.178385
0 101 0.178553 -0.184618
1 101 0.258561 -0.181501
0 102 -0.46567 -0.181501
1 102 -0.440109 -0.157196
0 103 0.0445128 -0.180463
1 103 0.12847 -0.172153
0 104 0.272069 -0.177347
1 104 0.352077 -0.175269
0 105 0.0289267 -0.176308
1 105 0.109766 -0.167167
0 106 0.150498 -0.175269
1 106 0.235702 -0.169037
0 107 -0.469827 -0.173192
